info,num_bathroom,title,url,price,pid,num_bedroom,pid1,latitude,longitude,date,pid2
"
                    1br -
                    728ft, -
                ",,LOVE WHERE YOU LIVE! LIVE AT PLUMTREE LUXURY APTS!,https://corvallis.craigslist.org/apa/6029346259.html,$995,6029346259,,,,,Mar  4,
"
                    2br -
                    1029ft, -
                ",,LOVE WHERE YOU LIVE & LOVE YOUR MOVE IN SPECIAL! CALL THE LODGES!,https://corvallis.craigslist.org/apa/6029345241.html,$1195,6029345241,,,,,Mar  4,
"
                    1br -
                    550ft, -
                ",,"1 BR, 1Bath Apartment Corvallis, OR 1/2 block to campus",https://corvallis.craigslist.org/apa/6029289636.html,$750,6029289636,,,,,Mar  4,
"
                    1br -
                    728ft, -
                ",,LOVING YOUR HOME IS JUST A CLICK AWAY!!!,https://corvallis.craigslist.org/apa/6028735205.html,$1020,6028735205,,,,,Mar  3,
"
                    360ft, -
                ",,FALL IN LOVE WITH ALBANY COURT!,https://corvallis.craigslist.org/apa/6028734200.html,$560,6028734200,,,,,Mar  3,
"
                    3br -
                    1217ft, -
                ",,2.5 Bath/Attached garage/ Duplex 2 storied.,https://corvallis.craigslist.org/apa/6008553061.html,$1295,6008553061,,,,,Mar  3,
"
                    2br -
                ",,GEARY STREET APARTMENTS,https://corvallis.craigslist.org/apa/6028538803.html,$875950,6028538803,,,,,Mar  3,
"
                    1br -
                    634ft, -
                ",,"Direct entry, 1, 2 and 3 bedroom floor plans, Soaking tubs!",https://corvallis.craigslist.org/apa/6028530996.html,$900,6028530996,,,,,Mar  3,
,,RV SPACES for Rent--Last space available!,https://corvallis.craigslist.org/apa/6028517857.html,$495,6028517857,,,,,Mar  3,
"
                    2br -
                    903ft, -
                ",,"Professionally Managed, Linen Closet, Patio, Near LBCC, WD",https://corvallis.craigslist.org/apa/6028471710.html,$925,6028471710,,,,,Mar  3,
"
                    2br -
                    1002ft, -
                ",,"Welcome Home, Call for Specials, Beautiful Location",https://corvallis.craigslist.org/apa/6028469838.html,$975,6028469838,,,,,Mar  3,
"
                    2br -
                    763ft, -
                ",,CTS Bus Route #4 Runs in Front of Our Community! How Convenient!,https://corvallis.craigslist.org/apa/6028393715.html,$1100,6028393715,,,,,Mar  3,
"
                    4br -
                    1550ft, -
                ",,"FURNISHED 1 Bd, 1Bth in 4 bd/bth Unit AVAILABLE NOW",https://corvallis.craigslist.org/apa/6028391119.html,$735,6028391119,,,,,Mar  3,
"
                    2br -
                    950ft, -
                ",,"Near Starbucks and Fred Meyer, Professionally Managed, Apply Today",https://corvallis.craigslist.org/apa/6028355584.html,$999,6028355584,,,,,Mar  3,
"
                    2br -
                    900ft, -
                ",,"Fresh, homey apartment near campus",https://corvallis.craigslist.org/apa/6028330163.html,$1150,6028330163,,,,,Mar  3,
"
                    1br -
                    728ft, -
                ",,FIND THE BEST DEALS AT THE LODGES LUXURY APTS! 4 WEEKS FREE RENT!,https://corvallis.craigslist.org/apa/6028240365.html,$1000,6028240365,,,,,Mar  3,
"
                    2br -
                ",,LOVE YOUR PETS? THIS IS THE PLACE FOR YOU!,https://corvallis.craigslist.org/apa/6028149531.html,$995,6028149531,,,,,Mar  3,
"
                    2br -
                    961ft, -
                ",,Peaceful 2 bed/2 bath apartments!!,https://corvallis.craigslist.org/apa/6028105705.html,$1300,6028105705,,,,,Mar  3,
"
                    4br -
                    1200ft, -
                ",,"Reserve your private, furnished room NOW + get $200 gift card!",https://corvallis.craigslist.org/apa/5992171285.html,$680,5992171285,,,,,Mar  3,
"
                    3br -
                    1147ft, -
                ",,Look and Lease TODAY! Full month's rent FREE!!!,https://corvallis.craigslist.org/apa/6028053281.html,$1490,6028053281,,,,,Mar  3,
"
                    2br -
                    560ft, -
                ",,Meeooowww Cats are Welcomed :),https://corvallis.craigslist.org/apa/6027963439.html,$800,6027963439,,,,,Mar  3,
"
                    2br -
                    785ft, -
                ",,"FALL QUARTERS Updated Apartment, Unbeatable Location!",https://corvallis.craigslist.org/apa/5989895882.html,$1050,5989895882,,,,,Mar  3,
"
                    2br -
                    700ft, -
                ",,Kings 2 bed 1 bath Flat,https://corvallis.craigslist.org/apa/5989912391.html,$995,5989912391,,,,,Mar  3,
"
                    2br -
                    961ft, -
                ",,6298 SW Grand Oaks Drive,https://corvallis.craigslist.org/apa/5986576796.html,$995,5986576796,,,,,Mar  3,
"
                    1br -
                    850ft, -
                ",,Delightful Cat Friendly 1 Bedroom Near Campus ~ 231 NW 9th,https://corvallis.craigslist.org/apa/6007708137.html,$795,6007708137,,,,,Mar  3,
"
                    2br -
                    1209ft, -
                ",,4 WEEKS FREE RENT - LIMITED TIME ONLY AT THE LODGES!,https://corvallis.craigslist.org/apa/6027796516.html,$1195,6027796516,,,,,Mar  3,
"
                    1br -
                    634ft, -
                ",,Mark Your Calendars! I'm Move in Ready 4/8/17!!!,https://corvallis.craigslist.org/apa/6027772985.html,$915,6027772985,,,,,Mar  3,
"
                    3br -
                    1100ft, -
                ",,Townhouse 3 Bed 2 half bath and Garage,https://corvallis.craigslist.org/apa/6027277217.html,$1075,6027277217,,,,,Mar  2,
"
                    1br -
                    728ft, -
                ",,KEEP YOUR EYES OPEN AT PLUMTREE!,https://corvallis.craigslist.org/apa/6027100294.html,$1020,6027100294,,,,,Mar  2,
